,location,date,time,harassment_type,reported_by,description
330,"Coimbatore, India",2022-04-17,23:12:39,robbery,non-victim,A store was robbed at gunpoint late at night.
331,"Hyderabad, India",2022-08-03,22:17:03,identity_theft,victim,An individual’s identity was stolen for online fraud.
332,"Srinagar, India",2020-11-25,01:22:56,counterfeiting,non-victim,Fake currency notes were found in a local shop.
333,"Sheffield, UK",2020-04-02,13:09:01,counterfeiting,victim,The suspect was caught selling counterfeit goods online.
334,"Coimbatore, India",2022-09-03,06:32:04,homicide,non-victim,The victim was fatally attacked by an unknown suspect.
335,"Melbourne, Australia",2024-12-06,01:13:08,vandalism,non-victim,The victim’s home was vandalized overnight by unknown individuals.
336,"Marseille, France",2022-08-03,11:59:19,assault,non-victim,The victim sustained injuries after being assaulted by a stranger.
337,"Nice, France",2022-04-27,09:28:43,assault,non-victim,A suspect punched and kicked the victim during an altercation.
338,"Bordeaux, France",2023-03-30,04:27:18,shoplifting,non-victim,The victim’s business suffered repeated theft incidents.
339,"Agra, India",2020-09-25,15:11:44,robbery,non-victim,A store was robbed at gunpoint late at night.
340,"New York City, USA",2021-11-28,07:05:02,drug_offense,victim,A suspect was caught selling illegal substances in the area.
341,"Kobe, Japan",2023-08-05,09:10:29,vandalism,non-victim,The victim’s home was vandalized overnight by unknown individuals.
342,"Newcastle, Australia",2022-11-30,22:15:29,vehicle_stolen,non-victim,Authorities recovered a stolen vehicle from a hidden location.
343,"New York City, USA",2024-11-07,03:17:44,vehicle_stolen,victim,The victim’s motorcycle was taken while parked outside a store.
344,"Raipur, India",2023-11-07,18:22:04,fraud,victim,The victim was scammed into transferring money to a fake account.
345,"Lyon, France",2020-08-12,20:50:11,burglary,non-victim,Burglars were caught on CCTV entering a local business at night.
346,"Strasbourg, France",2021-03-27,03:23:11,shoplifting,victim,A suspect was caught stealing items from a retail store.
347,"Kalyan-Dombivli, India",2021-08-31,07:18:08,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
348,"Thane, India",2024-05-11,18:22:47,arson,victim,An unknown suspect ignited a vehicle in a parking lot.
349,"Ghaziabad, India",2024-09-23,08:02:02,traffic_violation,victim,A driver was caught speeding in a restricted area.
350,"Osaka, Japan",2023-07-31,20:49:58,domestic_violence,victim,The victim reported repeated physical abuse at home.
351,"Jodhpur, India",2023-07-18,20:46:55,assault,victim,The victim sustained injuries after being assaulted by a stranger.
352,"Ranchi, India",2024-02-29,22:45:15,fraud,non-victim,A business reported fraudulent transactions in their records.
353,"London, UK",2024-04-25,11:03:06,assault,victim,The victim sustained injuries after being assaulted by a stranger.
354,"Nagoya, Japan",2025-01-19,20:05:38,traffic_violation,non-victim,A suspect was fined for reckless driving.
355,"Tokyo, Japan",2021-01-10,20:35:14,vandalism,victim,The victim’s home was vandalized overnight by unknown individuals.
356,"Sheffield, UK",2022-07-19,19:48:57,homicide,victim,"A body was discovered at the crime scene, leading to an investigation."
357,"Patna, India",2022-04-19,20:20:00,fraud,victim,A suspect created false documents to claim financial benefits.
358,"Vijayawada, India",2024-03-20,11:44:57,illegal_possession,non-victim,Police confiscated unauthorized materials from the suspect.
359,"Vijayawada, India",2025-01-04,11:10:32,extortion,non-victim,The victim received threats demanding money for safety.
360,"Gwalior, India",2021-12-03,21:20:45,counterfeiting,victim,The suspect was caught selling counterfeit goods online.
361,"Chennai, India",2025-01-14,20:58:29,homicide,non-victim,The victim was fatally attacked by an unknown suspect.
362,"Dhanbad, India",2023-06-12,19:49:54,public_intoxication,non-victim,A disorderly individual was escorted away by authorities.
363,"Wollongong, Australia",2022-03-26,06:35:46,domestic_violence,victim,The victim reported repeated physical abuse at home.
364,"Thane, India",2022-02-04,23:16:51,cybercrime,victim,Personal data was stolen through an online scam.
365,"San Jose, USA",2023-05-06,05:31:57,homicide,victim,"A body was discovered at the crime scene, leading to an investigation."
366,"Ranchi, India",2024-11-08,11:26:33,domestic_violence,non-victim,The victim suffered emotional and physical abuse over months.
367,"Los Angeles, USA",2023-01-30,00:13:25,public_intoxication,non-victim,The suspect was found heavily drunk and creating a scene.
368,"Faridabad, India",2024-11-04,12:47:20,domestic_violence,non-victim,A suspect was arrested for assaulting their spouse.
369,"Pimpri-Chinchwad, India",2024-01-22,13:08:50,identity_theft,victim,The victim’s personal details were used to open fake bank accounts.
370,"Lucknow, India",2023-09-19,21:12:00,robbery,victim,A suspect threatened the victim and stole their belongings.
371,"Adelaide, Australia",2022-03-08,01:45:30,burglary,non-victim,Burglars were caught on CCTV entering a local business at night.
372,"Vasai-Virar, India",2023-07-19,09:18:22,counterfeiting,non-victim,A large batch of fake identification documents was seized.
373,"Kalyan-Dombivli, India",2021-01-26,23:52:52,robbery,non-victim,A suspect threatened the victim and stole their belongings.
374,"Phoenix, USA",2025-01-10,20:17:36,fraud,victim,A suspect created false documents to claim financial benefits.
375,"Manchester, UK",2023-05-24,06:24:05,arson,victim,The victim’s property was intentionally burned down.
376,"Bristol, UK",2023-12-24,08:09:20,kidnapping,victim,The victim was forcefully taken and held for ransom.
377,"Surat, India",2022-03-04,08:34:52,public_intoxication,non-victim,The suspect was found heavily drunk and creating a scene.
378,"Saitama, Japan",2022-09-10,05:48:47,counterfeiting,non-victim,Fake currency notes were found in a local shop.
379,"Jodhpur, India",2020-07-25,03:40:46,robbery,non-victim,A suspect threatened the victim and stole their belongings.
380,"Adelaide, Australia",2021-04-24,03:42:33,identity_theft,victim,A suspect was caught using someone else’s credentials illegally.
381,"Adelaide, Australia",2021-02-16,09:00:28,counterfeiting,non-victim,A large batch of fake identification documents was seized.
382,"Ghaziabad, India",2022-06-11,08:59:11,assault,victim,A suspect punched and kicked the victim during an altercation.
383,"Delhi, India",2020-02-26,20:47:11,identity_theft,non-victim,A suspect was caught using someone else’s credentials illegally.
384,"Mumbai, India",2021-07-17,02:54:24,traffic_violation,victim,"An individual ran a red light, causing a near accident."
385,"Saitama, Japan",2024-06-17,04:29:15,arson,victim,An unknown suspect ignited a vehicle in a parking lot.
386,"Birmingham, UK",2023-03-05,20:10:22,sexual_assault,non-victim,The victim reported unwanted physical advances by the suspect.
387,"Bordeaux, France",2022-12-27,19:04:18,drug_offense,victim,Police seized a large quantity of banned drugs.
388,"Ghaziabad, India",2022-12-18,08:19:15,robbery,victim,A store was robbed at gunpoint late at night.
389,"Lyon, France",2020-03-17,04:23:04,robbery,non-victim,A store was robbed at gunpoint late at night.
390,"Tokyo, Japan",2022-06-08,05:49:09,shoplifting,non-victim,A suspect was caught stealing items from a retail store.
391,"Ghaziabad, India",2023-05-19,15:49:16,shoplifting,victim,Store security apprehended an individual for shoplifting.
392,"Howrah, India",2020-08-10,20:48:50,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
393,"Fukuoka, Japan",2022-06-09,17:29:44,fraud,non-victim,The victim was scammed into transferring money to a fake account.
394,"Meerut, India",2021-09-16,16:05:55,homicide,non-victim,The victim was fatally attacked by an unknown suspect.
395,"Pune, India",2022-11-30,05:50:31,robbery,victim,A suspect threatened the victim and stole their belongings.
396,"Yokohama, Japan",2020-07-07,07:52:02,homicide,victim,The victim was fatally attacked by an unknown suspect.
397,"Aurangabad, India",2021-04-23,18:11:58,shoplifting,victim,The victim’s business suffered repeated theft incidents.
398,"Srinagar, India",2024-02-12,19:34:28,cybercrime,non-victim,A phishing email tricked the victim into revealing bank details.
399,"New York City, USA",2021-09-10,02:59:57,illegal_possession,victim,The victim reported unlawful items in a neighbor’s possession.
400,"Patna, India",2024-08-20,21:12:18,kidnapping,non-victim,A child was abducted near a school by an unknown suspect.
401,"Navi Mumbai, India",2020-10-27,02:28:15,assault,non-victim,A suspect punched and kicked the victim during an altercation.
402,"Nantes, France",2021-09-22,13:47:39,cybercrime,non-victim,A phishing email tricked the victim into revealing bank details.
403,"Houston, USA",2025-01-16,10:04:11,drug_offense,victim,An individual was found in possession of narcotics during a search.
404,"Dallas, USA",2024-05-27,08:49:06,vandalism,non-victim,A suspect was caught damaging parked vehicles in the area.
405,"Bristol, UK",2022-08-20,06:46:26,homicide,victim,"A body was discovered at the crime scene, leading to an investigation."
406,"Kalyan-Dombivli, India",2024-10-22,16:51:30,fraud,non-victim,The victim was scammed into transferring money to a fake account.
407,"Saitama, Japan",2024-06-29,07:48:02,counterfeiting,non-victim,A large batch of fake identification documents was seized.
408,"Bangalore, India",2022-07-16,14:05:58,traffic_violation,non-victim,A suspect was fined for reckless driving.
409,"Phoenix, USA",2021-05-06,10:12:00,firearm_offense,non-victim,Police arrested an individual for illegal firearm possession.
410,"Vasai-Virar, India",2023-02-12,06:56:33,counterfeiting,non-victim,A large batch of fake identification documents was seized.
411,"Strasbourg, France",2023-11-14,03:06:58,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
412,"Adelaide, Australia",2023-04-18,08:03:04,sexual_assault,victim,A suspect was arrested for inappropriate behavior towards a minor.
413,"Vijayawada, India",2024-12-22,13:57:28,public_intoxication,non-victim,A disorderly individual was escorted away by authorities.
414,"Toulouse, France",2021-02-22,08:54:50,vehicle_stolen,non-victim,The victim’s motorcycle was taken while parked outside a store.
415,"Mumbai, India",2020-12-15,10:35:26,vehicle_stolen,victim,Authorities recovered a stolen vehicle from a hidden location.
416,"Fukuoka, Japan",2021-05-22,04:36:56,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
417,"Canberra, Australia",2023-12-03,21:27:55,robbery,victim,The victim was attacked and had their wallet taken by force.
418,"Nagoya, Japan",2020-10-03,21:08:59,kidnapping,victim,A child was abducted near a school by an unknown suspect.
419,"Canberra, Australia",2022-09-02,08:30:54,robbery,non-victim,A store was robbed at gunpoint late at night.
420,"Birmingham, UK",2020-05-20,20:02:21,assault,victim,The victim sustained injuries after being assaulted by a stranger.
421,"Canberra, Australia",2022-12-21,23:20:24,traffic_violation,victim,A driver was caught speeding in a restricted area.
422,"Osaka, Japan",2021-01-17,22:14:59,traffic_violation,victim,"An individual ran a red light, causing a near accident."
423,"San Antonio, USA",2023-02-01,04:07:34,arson,victim,The victim’s property was intentionally burned down.
424,"Lucknow, India",2023-10-08,20:19:13,robbery,non-victim,A store was robbed at gunpoint late at night.
425,"Dallas, USA",2025-01-24,03:19:39,fraud,victim,The victim was scammed into transferring money to a fake account.
426,"London, UK",2022-09-01,10:15:16,assault,victim,The victim was physically attacked in a public area.
427,"Osaka, Japan",2022-06-24,20:53:56,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
428,"Patna, India",2024-09-13,02:25:32,cybercrime,victim,Personal data was stolen through an online scam.
429,"Ranchi, India",2020-05-13,19:03:07,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
430,"Brisbane, Australia",2021-08-17,13:17:40,public_intoxication,victim,A disorderly individual was escorted away by authorities.
431,"Madurai, India",2021-04-14,20:57:16,arson,victim,"A building was deliberately set on fire, causing significant damage."
432,"Yokohama, Japan",2023-04-21,02:16:04,firearm_offense,non-victim,Gunshots were reported in a residential neighborhood.
433,"Bordeaux, France",2023-11-28,10:21:17,drug_offense,non-victim,Police seized a large quantity of banned drugs.
434,"Kanpur, India",2023-04-12,19:16:28,public_intoxication,non-victim,A disorderly individual was escorted away by authorities.
435,"Amritsar, India",2020-09-30,03:23:04,domestic_violence,victim,The victim suffered emotional and physical abuse over months.
436,"Hubli-Dharwad, India",2020-08-07,02:53:32,counterfeiting,non-victim,Fake currency notes were found in a local shop.
437,"Jodhpur, India",2020-02-19,17:28:11,kidnapping,victim,Police rescued an individual who had been kidnapped for days.
438,"Delhi, India",2021-12-19,23:27:07,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
439,"Amritsar, India",2021-07-01,05:03:15,arson,victim,The victim’s property was intentionally burned down.
440,"Osaka, Japan",2023-03-23,10:34:52,extortion,victim,A suspect blackmailed a businessman for protection fees.
441,"Vasai-Virar, India",2021-10-10,13:12:20,counterfeiting,victim,The suspect was caught selling counterfeit goods online.
442,"Chennai, India",2020-11-15,03:49:40,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
443,"Guwahati, India",2022-09-28,22:03:47,counterfeiting,non-victim,A large batch of fake identification documents was seized.
444,"Ludhiana, India",2020-02-21,01:56:30,arson,victim,The victim’s property was intentionally burned down.
445,"Chandigarh, India",2020-05-19,07:38:24,cybercrime,non-victim,Personal data was stolen through an online scam.
446,"Perth, Australia",2022-03-07,17:24:58,drug_offense,non-victim,Police seized a large quantity of banned drugs.
447,"Bristol, UK",2020-08-31,08:31:43,assault,non-victim,A suspect punched and kicked the victim during an altercation.
448,"Gwalior, India",2024-03-03,17:22:56,sexual_assault,non-victim,The victim reported unwanted physical advances by the suspect.
449,"Nice, France",2020-11-10,05:54:49,shoplifting,non-victim,A suspect was caught stealing items from a retail store.
450,"Vasai-Virar, India",2023-11-18,09:17:28,extortion,non-victim,The victim received threats demanding money for safety.
451,"Liverpool, UK",2022-09-13,22:56:12,vandalism,non-victim,A suspect was caught damaging parked vehicles in the area.
452,"Kobe, Japan",2020-01-07,05:00:06,sexual_assault,victim,The victim reported unwanted physical advances by the suspect.
453,"Dallas, USA",2020-09-11,10:42:31,robbery,victim,A suspect threatened the victim and stole their belongings.
454,"Dallas, USA",2020-12-26,00:04:24,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
455,"Canberra, Australia",2022-07-03,09:13:17,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
456,"Visakhapatnam, India",2023-04-24,14:10:58,homicide,non-victim,A suspect was arrested in connection with a murder case.
457,"Hyderabad, India",2024-05-20,18:09:02,arson,non-victim,The victim’s property was intentionally burned down.
458,"San Antonio, USA",2021-12-16,12:24:32,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
459,"Srinagar, India",2023-07-07,09:37:12,burglary,victim,A suspect broke into the victim's house and stole valuables.
460,"Patna, India",2021-04-09,03:01:41,robbery,non-victim,The victim was attacked and had their wallet taken by force.
461,"Tokyo, Japan",2022-08-17,12:34:06,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
462,"Navi Mumbai, India",2024-01-08,19:19:01,identity_theft,victim,An individual’s identity was stolen for online fraud.
463,"Jaipur, India",2021-08-10,10:48:20,arson,non-victim,The victim’s property was intentionally burned down.
464,"Ghaziabad, India",2020-11-09,23:34:36,robbery,victim,A store was robbed at gunpoint late at night.
465,"Sapporo, Japan",2020-09-30,21:50:25,fraud,victim,A suspect created false documents to claim financial benefits.
466,"Navi Mumbai, India",2024-07-17,04:19:49,assault,non-victim,A suspect punched and kicked the victim during an altercation.
467,"Leeds, UK",2022-10-28,17:39:12,burglary,non-victim,The victim reported unauthorized entry into their apartment.
468,"Yokohama, Japan",2021-10-13,07:51:06,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
469,"Chennai, India",2023-05-15,05:47:58,illegal_possession,victim,The victim reported unlawful items in a neighbor’s possession.
470,"Srinagar, India",2021-09-02,19:31:31,assault,non-victim,The victim sustained injuries after being assaulted by a stranger.
471,"Chennai, India",2024-09-28,23:46:17,vandalism,non-victim,A suspect was caught damaging parked vehicles in the area.
472,"Nantes, France",2020-03-01,12:24:17,robbery,victim,A suspect threatened the victim and stole their belongings.
473,"Houston, USA",2022-10-08,22:33:08,traffic_violation,victim,A driver was caught speeding in a restricted area.
474,"Yokohama, Japan",2021-02-11,13:21:42,sexual_assault,victim,A suspect was arrested for inappropriate behavior towards a minor.
475,"Birmingham, UK",2021-10-30,20:15:50,burglary,non-victim,A suspect broke into the victim's house and stole valuables.
476,"Nashik, India",2020-01-07,04:40:03,extortion,victim,A suspect blackmailed a businessman for protection fees.
477,"Houston, USA",2025-01-09,07:00:02,drug_offense,non-victim,Police seized a large quantity of banned drugs.
478,"Yokohama, Japan",2023-10-06,18:44:18,fraud,victim,The victim was scammed into transferring money to a fake account.
479,"Amritsar, India",2020-07-14,04:07:13,fraud,non-victim,The victim was scammed into transferring money to a fake account.
480,"Gwalior, India",2020-01-05,14:46:28,burglary,non-victim,Burglars were caught on CCTV entering a local business at night.
481,"Sapporo, Japan",2024-04-29,14:47:22,identity_theft,victim,An individual’s identity was stolen for online fraud.
482,"Dallas, USA",2021-10-17,19:18:53,public_intoxication,victim,The suspect was found heavily drunk and creating a scene.
483,"Kolkata, India",2022-12-25,21:56:12,traffic_violation,victim,A suspect was fined for reckless driving.
484,"Pune, India",2024-05-24,17:54:57,identity_theft,victim,A suspect was caught using someone else’s credentials illegally.
485,"Nashik, India",2025-01-03,21:35:17,cybercrime,victim,A phishing email tricked the victim into revealing bank details.
486,"Manchester, UK",2021-10-18,10:26:56,burglary,victim,A suspect broke into the victim's house and stole valuables.
487,"Ahmedabad, India",2022-01-13,06:41:26,drug_offense,victim,A suspect was caught selling illegal substances in the area.
488,"Kolkata, India",2021-06-14,14:27:04,public_intoxication,victim,An intoxicated person caused a disturbance in a public place.
489,"London, UK",2025-01-10,04:23:28,homicide,non-victim,A suspect was arrested in connection with a murder case.
490,"Amritsar, India",2023-04-19,23:25:43,identity_theft,victim,The victim’s personal details were used to open fake bank accounts.
491,"Howrah, India",2021-09-16,01:41:16,counterfeiting,victim,A large batch of fake identification documents was seized.
492,"Bhopal, India",2024-08-10,11:56:32,counterfeiting,victim,Fake currency notes were found in a local shop.
493,"Dallas, USA",2025-01-29,00:14:55,kidnapping,victim,The victim was forcefully taken and held for ransom.
494,"Birmingham, UK",2024-07-03,22:06:43,drug_offense,non-victim,A suspect was caught selling illegal substances in the area.
495,"Manchester, UK",2024-07-05,22:47:25,domestic_violence,non-victim,The victim suffered emotional and physical abuse over months.
496,"Varanasi, India",2022-05-11,02:56:46,extortion,non-victim,A suspect blackmailed a businessman for protection fees.
497,"Saitama, Japan",2023-03-11,20:45:18,firearm_offense,victim,Police arrested an individual for illegal firearm possession.
498,"Brisbane, Australia",2022-06-20,18:33:49,drug_offense,victim,An individual was found in possession of narcotics during a search.
499,"Kolkata, India",2020-10-16,19:42:53,firearm_offense,victim,Police arrested an individual for illegal firearm possession.
500,"Yokohama, Japan",2023-06-16,02:59:18,homicide,non-victim,The victim was fatally attacked by an unknown suspect.
501,"Jabalpur, India",2021-08-01,13:17:34,shoplifting,victim,Store security apprehended an individual for shoplifting.
502,"Dhanbad, India",2024-11-21,08:21:42,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
503,"Hyderabad, India",2021-06-16,23:59:31,burglary,non-victim,A suspect broke into the victim's house and stole valuables.
504,"Edinburgh, UK",2022-07-04,03:32:28,vandalism,victim,Public property was defaced with graffiti and damage.
505,"Jaipur, India",2023-07-02,21:26:34,shoplifting,victim,Store security apprehended an individual for shoplifting.
506,"New York City, USA",2021-11-12,00:23:07,firearm_offense,non-victim,A suspect was found carrying an unlicensed weapon.
507,"Solapur, India",2024-03-16,16:06:43,fraud,non-victim,The victim was scammed into transferring money to a fake account.
508,"Solapur, India",2023-10-14,03:53:24,homicide,non-victim,A suspect was arrested in connection with a murder case.
509,"Birmingham, UK",2020-06-10,20:14:01,cybercrime,victim,Personal data was stolen through an online scam.
510,"Logan City, Australia",2022-04-03,00:24:09,burglary,non-victim,The victim reported unauthorized entry into their apartment.
511,"Ghaziabad, India",2022-09-08,15:32:31,kidnapping,non-victim,A child was abducted near a school by an unknown suspect.
512,"Nagpur, India",2024-11-14,00:29:23,shoplifting,non-victim,The victim’s business suffered repeated theft incidents.
513,"Faridabad, India",2023-06-20,15:33:26,vehicle_stolen,non-victim,The victim’s motorcycle was taken while parked outside a store.
514,"Saitama, Japan",2020-01-01,10:48:06,cybercrime,victim,The victim’s social media account was hacked and misused.
515,"San Diego, USA",2023-07-17,21:14:48,drug_offense,victim,An individual was found in possession of narcotics during a search.
516,"Solapur, India",2022-09-03,08:46:35,burglary,victim,The victim reported unauthorized entry into their apartment.
517,"Solapur, India",2020-01-08,11:20:23,vandalism,victim,Public property was defaced with graffiti and damage.
518,"Madurai, India",2020-05-09,02:50:51,shoplifting,victim,The victim’s business suffered repeated theft incidents.
519,"Montpellier, France",2021-02-01,05:55:36,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
520,"Faridabad, India",2022-09-18,02:15:02,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
521,"Melbourne, Australia",2023-09-27,09:16:07,identity_theft,non-victim,The victim’s personal details were used to open fake bank accounts.
522,"Toulouse, France",2020-11-18,17:39:04,cybercrime,victim,Personal data was stolen through an online scam.
523,"Saitama, Japan",2023-11-24,21:03:29,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
524,"Edinburgh, UK",2023-06-16,13:26:22,vehicle_stolen,victim,Authorities recovered a stolen vehicle from a hidden location.
525,"Kyoto, Japan",2024-07-07,12:20:12,burglary,non-victim,The victim reported unauthorized entry into their apartment.
526,"Raipur, India",2024-08-05,09:35:40,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
527,"Sydney, Australia",2024-07-17,00:31:20,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
528,"Rajkot, India",2024-04-12,22:12:52,cybercrime,victim,The victim’s social media account was hacked and misused.
529,"Nagpur, India",2023-01-04,02:04:44,burglary,non-victim,Burglars were caught on CCTV entering a local business at night.
530,"Leeds, UK",2024-05-20,12:20:41,fraud,non-victim,A suspect created false documents to claim financial benefits.
531,"Chandigarh, India",2022-10-08,22:08:57,homicide,victim,The victim was fatally attacked by an unknown suspect.
532,"San Antonio, USA",2024-10-20,01:50:19,burglary,non-victim,A suspect broke into the victim's house and stole valuables.
533,"Los Angeles, USA",2023-07-23,19:07:14,burglary,non-victim,A suspect broke into the victim's house and stole valuables.
534,"Howrah, India",2022-05-13,10:04:59,arson,non-victim,The victim’s property was intentionally burned down.
535,"Kyoto, Japan",2020-09-30,07:04:57,shoplifting,non-victim,Store security apprehended an individual for shoplifting.
536,"Montpellier, France",2024-03-23,01:44:44,public_intoxication,victim,The suspect was found heavily drunk and creating a scene.
537,"Brisbane, Australia",2023-04-27,23:08:24,burglary,victim,The victim reported unauthorized entry into their apartment.
538,"Adelaide, Australia",2021-02-05,06:03:17,robbery,victim,A suspect threatened the victim and stole their belongings.
539,"San Diego, USA",2020-01-19,07:41:42,identity_theft,non-victim,The victim’s personal details were used to open fake bank accounts.
540,"Vasai-Virar, India",2023-11-20,14:39:26,firearm_offense,non-victim,Police arrested an individual for illegal firearm possession.
541,"New York City, USA",2022-01-14,20:31:33,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
542,"Yokohama, Japan",2021-02-09,21:57:52,identity_theft,non-victim,The victim’s personal details were used to open fake bank accounts.
543,"Mumbai, India",2024-07-05,00:14:42,vandalism,non-victim,A suspect was caught damaging parked vehicles in the area.
544,"Glasgow, UK",2021-08-01,21:17:02,extortion,victim,A suspect blackmailed a businessman for protection fees.
545,"Canberra, Australia",2020-02-26,22:29:50,domestic_violence,victim,The victim reported repeated physical abuse at home.
546,"Vijayawada, India",2024-04-29,08:43:40,cybercrime,victim,Personal data was stolen through an online scam.
547,"Tokyo, Japan",2022-12-29,07:37:40,identity_theft,victim,A suspect was caught using someone else’s credentials illegally.
548,"Cardiff, UK",2023-07-14,19:13:14,extortion,victim,The victim received threats demanding money for safety.
549,"Surat, India",2024-06-21,06:46:42,illegal_possession,victim,The victim reported unlawful items in a neighbor’s possession.
550,"Paris, France",2023-12-25,03:07:25,identity_theft,non-victim,An individual’s identity was stolen for online fraud.
551,"Nashik, India",2024-01-13,19:38:30,illegal_possession,victim,The victim reported unlawful items in a neighbor’s possession.
552,"Kyoto, Japan",2020-05-31,01:01:16,traffic_violation,non-victim,"An individual ran a red light, causing a near accident."
553,"Dallas, USA",2024-10-15,14:22:32,vehicle_stolen,victim,The victim’s motorcycle was taken while parked outside a store.
554,"Toulouse, France",2024-01-01,05:02:47,assault,victim,A suspect punched and kicked the victim during an altercation.
555,"Agra, India",2020-06-05,00:01:57,fraud,non-victim,A business reported fraudulent transactions in their records.
556,"Logan City, Australia",2020-04-06,02:06:46,cybercrime,non-victim,A phishing email tricked the victim into revealing bank details.
557,"Navi Mumbai, India",2020-08-05,16:55:28,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
558,"Manchester, UK",2024-08-31,01:18:46,kidnapping,victim,Police rescued an individual who had been kidnapped for days.
559,"Hyderabad, India",2022-11-19,12:46:24,public_intoxication,non-victim,A disorderly individual was escorted away by authorities.
560,"Madurai, India",2024-10-21,14:38:12,robbery,non-victim,A suspect threatened the victim and stole their belongings.
561,"Sydney, Australia",2020-04-20,12:46:46,fraud,victim,The victim was scammed into transferring money to a fake account.
562,"Tokyo, Japan",2022-01-22,21:17:33,robbery,victim,A suspect threatened the victim and stole their belongings.
